Type,Price,Address,Description,Bedrooms,Bathrooms,Agency_Name,Agency_Link,Images
Apartment,"4,750",New Al Rayyan / Al Wajba,(W/ Gym & Swimming Pool) F/F 1BHK nr Aspire Zone (incl W/E/I),1,2,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2020/04/12/1MonthFREE.jpg?itok=onYvsj8N
Apartment,"7,000",Fereej Bin Omran,2BHK FF APARTMENT WITH SWIMMING POOL & GYM IN BIN OMRAN ! ALL INCLUSIVE (JUMEIRAH GREEN),2,2,Homes2Rent,https://www.qatarliving.com/user/homes2rent-1,https://files.qatarliving.com/styles/555x415/s3/2019/12/04/Bedroomjum_1.jpg?itok=gWyAmp-P
Apartment,"9,000",West Bay,Lux. Furnished 2-Bedroom Apartment in West bay ,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/01/Layout.._0.jpg?itok=El9ViSkR
Apartment,"6,200",Najma,Spacious 2 BHK FF behind Crown Plaza Hotel,2,2,AL EMADI ENTERPRISES,https://www.qatarliving.com/user/al-emadi-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/08/21/Bldg-A-Living-and-Dining-area.jpg?itok=bw7pvaJy
Apartment,"7,000",Al Mansoura / Fereej Bin Dirham,Fully Furnished 3BHK behind Apollo Clinic(Mansoura),3,3,AL EMADI ENTERPRISES,https://www.qatarliving.com/user/al-emadi-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/09/30/_DSC0310.jpg?itok=Aw3GLh0_
Apartment,"7,900",Al Mansoura / Fereej Bin Dirham,Beautiful 3BHK in Mansoura (opposite of Al Meera),3,3,AL EMADI ENTERPRISES,https://www.qatarliving.com/user/al-emadi-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/10/16/1_27.jpg?itok=_ZHBBMve
Apartment,"6,700",Old Airport,3BHK Unfurnished behind Indian Supermarket Old Airport,3,3,AL EMADI ENTERPRISES,https://www.qatarliving.com/user/al-emadi-enterprises,https://files.qatarliving.com/styles/555x415/s3/2019/11/10/DSC_0202.jpg?itok=JxilgsZi
Apartment,"5,000",Al Messila,Unfurnished 3 Bedroom Apartment│Al Messila,3,2,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/26/544720180226072755-Large.jpg?itok=-LE9KSva
Apartment,"8,500",The Pearl Qatar, TPG-R-1386 | Request Virtual Tour | 1 Month Free | Sea View,1,2,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/13.jpg?itok=6DJZZmcQ
Apartment,"6,000",Madinat Khalifa South,2BHK FULLY FURNISHED APARTMENT IN MADINAT KHALIFA ! ALL INCLUSIVE (GOLDEN AMBER),2,2,Homes2Rent,https://www.qatarliving.com/user/homes2rent-1,https://files.qatarliving.com/styles/555x415/s3/2020/01/04/livingroom2_0.jpg?itok=5dXsjUGt
